D,Ebulk1,Ebulk2,Edarcy1,Edarcy2,Eshear1,Eshear2,Etotal1,Etotal2,a,k,α,ζ,ηs,κd,φ
50.0,0.0,0.0,8.091003883187585e9,6.207675788226964e9,2.2121112908863854e9,2.5303939347922764e9,1.0366090752820951e10,1.1410675416621042e10,0.2,9.336657917617215e-8,0.32001395499667773,6.3381152824243945e19,2.998887225322102e18,9.247620427985205e10,0.04731512589614805
50.0,0.0,0.0,9.609859593671692e9,7.428953437666005e9,2.3829860648066816e9,2.724531444793985e9,1.206221249179496e10,1.3240402171507208e10,0.2,1.1162239393187771e-7,0.3239170246080183,5.5470950532090405e19,2.780133224385367e18,9.141763792297498e10,0.05011872336272725
50.0,0.0,0.0,1.1411570050270548e10,8.89349117765557e9,2.57923838802923e9,2.947488570158303e9,1.4067552659990324e10,1.5401458663588455e10,0.2,1.3349689176463498e-7,0.32779769088843325,4.831877335403367e19,2.565168513797926e18,9.037118887498447e10,0.053088444423098846
50.0,0.0,0.0,1.3545825907032242e10,1.0650594582409227e10,2.805771993824292e9,3.204826866142505e9,1.643685969570375e10,1.795245026740566e10,0.2,1.5972079163787146e-7,0.33165608243138545,4.187699841087494e19,2.3549166781365555e18,8.933671843019261e10,0.05623413251903491
50.0,0.0,0.0,1.6069235334338522e10,1.2759805488974884e10,3.0686648782836175e9,3.5034385617855163e9,1.9232990579557648e10,2.0960765526820187e10,0.2,1.9117607500114537e-7,0.33549232709222043,3.609933727615701e19,2.150300862189239e18,8.831408947066252e10,0.059566214352901034
50.0,0.0,0.0,1.904559450281252e10,1.5293096396919678e10,3.3755044916437373e9,3.8519261504650683e9,2.2527515223748947e10,2.450331789066255e10,0.2,2.289283375852177e-7,0.339306551992404,3.094075837094269e19,1.9522298737933312e18,8.730316644803319e10,0.06309573444801933
50.0,0.0,0.0,2.2546018607401367e10,1.8337555095645664e10,3.7358341944502034e9,4.2611079088627663e9,2.640129207465486e10,2.8667308935955036e10,0.2,2.7426635699639217e-7,0.34309888352373374,2.6357433397943284e19,1.7615830294235261e18,8.630381536555302e10,0.06683439175686148
50.0,0.0,0.0,2.6649044695157494e10,2.1998674689076378e10,4.1617532118916354e9,4.744697113022573e9,3.0945169447742565e10,3.3551195793576805e10,0.2,3.287505717704193e-7,0.34686944735252767,2.2306708355446825e19,1.5791940143725007e18,8.531590376031853e10,0.0707945784384138
50.0,0.0,0.0,3.1441009852800564e10,2.640439287513636e10,4.668730421355712e9,5.320223179993115e9,3.6261178849432594e10,3.926627087388397e10,0.2,3.9427259171017193e-7,0.3506183684237887,1.8747099272909345e19,1.405834118653541e18,8.433930068571645e10,0.07498942093324558
50.0,0.0,0.0,3.7017294338156815e10,3.1710060706846844e10,5.276719081806113e9,6.010293219587491e9,4.246490136351231e10,4.593959196442139e10,0.2,4.731283974832326e-7,0.3543457709653445,1.5638312305271806e19,1.2421953007513562e18,8.337387669406708e10,0.07943282347242814
50.0,0.0,0.0,4.348535523018122e10,3.810456740976037e10,6.011699665402249e9,6.844337736842535e9,4.969006677069619e10,5.371939186584388e10,0.2,5.681085727374432e-7,0.35805177849196423,1.2941287214095938e19,1.0888736188575405e18,8.241950381946603e10,0.08413951416451952
50.0,0.0,0.0,5.097073659100211e10,4.5817907235197174e10,6.90783858985463e9,7.861052738302026e9,5.809676864957054e10,6.2784424957805374e10,0.2,6.826097880181888e-7,0.3617365138094514,1.0618262559559629e19,9.46353646755795e17,8.147605556082254e10,0.08912509381337459
50.0,0.0,0.0,5.9627226466114586e10,5.513055088627847e10,8.010543630306888e9,9.111855545411171e9,6.788475763964661e10,7.335878238549928e10,0.2,8.207728802293786e-7,0.3654000990187132,8.632860145875261e18,8.149945514168826e17,8.05434068650918e10,0.09440608762859236
50.0,0.0,0.0,6.965185752834416e10,6.6385083132436775e10,9.3808412989269e9,1.066583487681839e10,7.93129461381489e10,8.573337496774178e10,0.2,9.876543209876548e-7,0.36904265551980675,6.950185431297853e18,6.950185431297853e17,7.962143411069945e10,0.1
50.0,0.0,0.0,8.130453482415823e10,8.000069678485088e10,1.1101729300656769e10,1.2616933111664537e10,9.272557153311943e10,1.0029462133861346e11,0.2,1.1894397445758513e-6,0.37266430401596196,5.536939770783331e18,5.86502407828453e17,7.871001509115549e10,0.10592537251772892
50.0,0.0,0.0,9.493108633677255e10,9.649130032445369e10,1.328752175268632e10,1.509451041514563e10,1.0858484370754117e11,1.1756034937035469e11,0.2,1.433710649339759e-6,0.37626516451758074,4.3615395534556954e18,4.893727868145236e17,7.780902899885612e10,0.11220184543019636
50.0,0.0,0.0,1.1098809217230623e11,1.1648821437747063e11,1.6097797507585323e10,1.827910964597516e10,1.2751006497383208e11,1.382232749954937e11,0.2,1.7297785821602529e-6,0.37984535634621464,3.3942365870669875e18,4.0340577441773376e17,7.69183564090707e10,0.11885022274370183
50.0,0.0,0.0,1.3006844245285196e11,1.4076871791805243e11,1.9758541284789883e10,2.2426346692289024e10,1.5032480796320297e11,1.632043348402644e11,0.2,2.0891053187272786e-6,0.3834049981385178,2.607233533740718e18,3.282312550108096e17,7.603787926411226e10,0.12589254117941676
50.0,0.0,0.0,1.5292813691021713e11,1.7029208251520352e11,2.459471389865376e10,2.7903709637230095e10,1.781169900055624e11,1.937218629398851e11,0.2,2.5258331122005654e-6,0.38694420785017936,1.9747878852137958e18,2.633421968909083e17,7.516748085768881e10,0.1333521432163324
50.0,0.0,0.0,1.8051674135930685e11,2.0624523576846054e11,3.108130676520051e10,3.524823189814556e10,2.1232147447595462e11,2.3138808473571255e11,0.2,3.0574564825487696e-6,0.39046310275983087,1.4732979492538296e18,2.0810886677367443e17,7.430704581943451e10,0.14125375446227548
50.0,0.0,0.0,2.1401543207702863e11,2.5010087018994852e11,3.992485317923102e10,4.5258554253327156e10,2.5484137724234424e11,2.783520849458109e11,0.2,3.7056769314245814e-6,0.39396179947293364,1.0813646604414028e18,1.6179763621928765e17,7.345646009961694e10,0.14962356560944334
50.0,0.0,0.0,2.5488738900811258e11,3.036917269867838e11,5.219611181585494e10,5.914475770887709e10,3.082340237182996e11,3.375201834539946e11,0.2,4.497495338196776e-6,0.39744041392564233,7.79823768922015e17,1.2359373826838706e17,7.261561095402025e10,0.15848931924611143
50.0,0.0,0.0,3.0494569811131915e11,3.6930602968498456e11,6.95504730309246e10,7.877722098133055e10,3.760040845038588e11,4.129049156412086e11,0.2,5.46661496117939e-6,0.40089906138864617,5.5174411421979994e17,9.262702359276731e16,7.178438692900104e10,0.16788040181225605
50.0,0.0,0.0,3.66444437009266e11,4.498107594760514e11,9.460177981242812e10,1.0710865328281151e11,4.630767141276936e11,5.101909440158853e11,0.2,6.655252849661371e-6,0.4043378564709895,3.823892367536273e17,6.799949063394745e16,7.096267784671509e10,0.1778279410038923
50.0,0.0,0.0,4.4219975266333655e11,5.4881186811344727e11,1.3156935204513055e11,1.4890456005811636e11,5.765799422109705e11,6.376754582587715e11,0.2,8.116491833257999e-6,0.4077569131238694,2.5914145456387146e17,4.881315649382991e16,7.01503747905136e10,0.18836490894898011
50.0,0.0,0.0,5.357498200986055e11,6.70863977427883e11,1.874173454142857e11,2.120297938624944e11,7.271691767773066e11,8.07868201283042e11,0.2,9.917353132034104e-6,0.4111563446444111,1.713896295499383e17,3.419672690174686e16,6.934737009050632e10,0.19952623149688797
50.0,0.0,0.0,6.515657616794955e11,8.217473162520548e11,2.7387591731792444e11,3.097324229707181e11,9.31303921505871e11,1.0402567737167606e12,0.2,1.2142836980201023e-5,0.41453626367942287,1.1038401660369237e17,2.3329540926505036e16,6.855355730929006e10,0.21134890398366477
50.0,0.0,0.0,7.953298703450986e11,1.0088382314187576e12,4.109479512185031e11,4.6461437428948444e11,1.2151097838001807e12,1.366032079999441e12,0.2,1.4901274372089583e-5,0.4178967822291286,6.906364766106813e16,1.5461424792546912e16,6.77688312278405e10,0.223872113856834
