Ebulk,Edarcy,Eshear,Etotal,b,k,α,ζ,ηs,κd,φ
96425.58249157619,5.935838296766118e11,6.319604824823986e9,0.0,1.0,1.0e-6,0.6451866107664246,3.293208201533377e21,9.281521784301783e18,2.517850823588334e10,0.002818382931264455
91146.6307393627,5.945171179234595e11,6.327509485895295e9,0.0,1.0,1.0e-6,0.6532631495474683,3.212804990401728e21,9.265830805720957e18,2.4045288692348263e10,0.002884031503126606
86169.3230373023,5.953903718527646e11,6.335610608371163e9,0.0,1.0,1.0e-6,0.6611558438607976,3.1342409230837597e21,9.249800730800165e18,2.296307242993763e10,0.002951209226666387
81476.30940440933,5.962063912938398e11,6.343913874129346e9,0.0,1.0,1.0e-6,0.6688688785174088,3.0574743292671836e21,9.233424860755431e18,2.192956392286371e10,0.003019951720402016
77051.20028091544,5.969677544585095e11,6.352425141598484e9,0.0,1.0,1.0e-6,0.676406343070372,2.9824644910193946e21,9.216696394231211e18,2.0942570961017963e10,0.003090295432513592
72878.52040141948,5.976768404780664e11,6.361150451460255e9,0.0,1.0,1.0e-6,0.683772233983162,2.9091716211685374e21,9.199608427217094e18,2.0000000000000008e10,0.0031622776601683794
68943.66374264886,5.983358492343962e11,6.370096032744765e9,0.0,1.0,1.0e-6,0.6909704567486408,2.837556842176917e21,9.182153953057161e18,1.909985172042874e10,0.003235936569296281
65232.849735397576,5.989468188360894e11,6.379268309301175e9,0.0,1.0,1.0e-6,0.6980048279597983,2.7675821654952903e21,9.164325862556734e18,1.82402167871182e10,0.003311311214825911
61733.080879125926,5.995116410437383e11,6.388673906631727e9,0.0,1.0,1.0e-6,0.7048790773333615,2.6992104713871656e21,9.146116944192838e18,1.74192717991216e10,0.0033884415613920273
58432.101856254754,6.000320749082468e11,6.39831965908422e9,0.0,1.0,1.0e-6,0.7115968496873395,2.6324054892123254e21,9.127519884434376e18,1.6635275422053411e10,0.0034673685045253167
55318.36020961396,6.005097588510469e11,6.408212617402391e9,0.0,1.0,1.0e-6,0.7181617068735545,2.567131778158976e21,9.108527268178011e18,1.5886564694485641e10,0.0035481338923357532
52380.9686194083,6.009462213848425e11,6.418360056637726e9,0.0,1.0,1.0e-6,0.7245771296661834,2.503354708414399e21,9.089131579306744e18,1.5171551500583673e10,0.003630780547701014
49609.668794320794,6.013428906472605e11,6.428769484430014e9,0.0,1.0,1.0e-6,0.7308465196073086,2.44104044276393e21,9.06932520137761e18,1.448871920149978e10,0.003715352290971728
46994.79697400598,6.017011028970616e11,6.439448649666516e9,0.0,1.0,1.0e-6,0.7369732008104619,2.3801559186084657e21,9.049100418445636e18,1.3836619418378717e10,0.0038018939632056127
44527.2510264862,6.020221101028586e11,6.450405551532097e9,0.0,1.0,1.0e-6,0.7429604217231136,2.3206688303909828e21,9.028449416031672e18,1.3213868960151922e10,0.003890451449942805
42198.459113193356,6.023070867371768e11,6.461648448965118e9,0.0,1.0,1.0e-6,0.748811356849042,2.2625476124225747e21,9.007364282241222e18,1.2619146889603867e10,0.003981071705534973
40000.349886070144,6.025571358739099e11,6.473185870535714e9,0.0,1.0,1.0e-6,0.7545291084314969,2.2057614220988753e21,8.985837009042343e18,1.2051191721487162e10,0.004073802778041126
37925.324174829366,6.027732946743763e11,6.485026624764626e9,0.0,1.0,1.0e-6,0.760116708098051,2.1502801234979122e21,8.963859493710916e18,1.1508798746743135e10,0.004168693834703355
35966.22811779694,6.029565393360123e11,6.497179810903122e9,0.0,1.0,1.0e-6,0.7655771184680078,2.0960742713505562e21,8.941423540451191e18,1.099081747715249e10,0.004265795188015926
