D,Ecomp,Ecomp_solid,Edarcy,Eshear,Eshear_solid,Etotal,Etotal_solid,a,k,α,ζ,ηs,κd,φ
50.0,3.5125206922239754e6,5.426641411068065e6,4.541522536105111e8,1.1019217891062415e9,1.1608554270921123e9,1.5648973461593466e9,1.1722034572761297e9,0.2,4.663101963373802e-9,0.25010579066754424,3.538787127332485e20,6.292952285046146e18,1.124682650380698e11,0.01778279410038923
300.0,NaN,1.911698107085083e7,NaN,NaN,9.51798182998397e9,NaN,9.596799801872414e9,0.01,1.1657754908434504e-11,0.25010579066754424,3.538787127332485e20,6.292952285046146e18,1.124682650380698e11,0.01778279410038923
300.0,1.1451066220394377e12,1.911698107085083e7,2.0711168770403306e17,4.174366554744378e12,9.51798182998397e9,1.091628867414732e14,9.596799801872414e9,0.1,1.1657754908434505e-9,0.25010579066754424,3.538787127332485e20,6.292952285046146e18,1.124682650380698e11,0.01778279410038923
300.0,1.4583363262295973e7,1.911698107085083e7,2.1101257841580336e9,9.29116954833765e9,9.51798182998397e9,1.1472590344303074e10,9.596799801872414e9,0.2,4.663101963373802e-9,0.25010579066754424,3.538787127332485e20,6.292952285046146e18,1.124682650380698e11,0.01778279410038923
50.0,NaN,6.444883982740317e6,NaN,NaN,1.2287459926213987e9,NaN,1.2414592425930254e9,0.01,1.6540013301167462e-11,0.2586897586990825,2.979685708643696e20,5.945254604908109e18,1.099081747715249e11,0.0199526231496888
50.0,4.11016257399991e6,6.444883982740317e6,1.622996791443198e8,1.1631467141463282e9,1.2287459926213987e9,1.3349887003370323e9,1.2414592425930254e9,0.1,1.6540013301167462e-9,0.2586897586990825,2.979685708643696e20,5.945254604908109e18,1.099081747715249e11,0.0199526231496888
50.0,4.1102323991549765e6,6.444883982740317e6,6.384781168731564e8,1.163144362275283e9,1.2287459926213987e9,1.8114095161614668e9,1.2414592425930254e9,0.2,6.616005320466985e-9,0.2586897586990825,2.979685708643696e20,5.945254604908109e18,1.099081747715249e11,0.0199526231496888
300.0,NaN,2.270404765223915e7,NaN,NaN,1.0074624094366049e10,NaN,1.0160517514192469e10,0.01,1.6540013301167462e-11,0.2586897586990825,2.979685708643696e20,5.945254604908109e18,1.099081747715249e11,0.0199526231496888
300.0,1.722951872387288e7,2.270404765223915e7,7.460531981033596e8,9.820313760431412e9,1.0074624094366049e10,1.064299292600538e10,1.0160517514192469e10,0.1,1.6540013301167462e-9,0.2586897586990825,2.979685708643696e20,5.945254604908109e18,1.099081747715249e11,0.0199526231496888
300.0,1.7229720621992033e7,2.270404765223915e7,2.97570999241791e9,9.820308644468418e9,1.0074624094366049e10,1.2873353975571651e10,1.0160517514192469e10,0.2,6.616005320466985e-9,0.2586897586990825,2.979685708643696e20,5.945254604908109e18,1.099081747715249e11,0.0199526231496888
50.0,NaN,7.708610922741546e6,NaN,NaN,1.3098547388064294e9,NaN,1.3242462943350244e9,0.01,2.3479900239756652e-11,0.26717546686109594,2.4912048093744513e20,5.577112867249696e18,1.0740635927405054e11,0.0223872113856834
50.0,4.8447255706270905e6,7.708610922741546e6,2.287195382413802e8,1.2364667106185079e9,1.3098547388064294e9,1.47582589867333e9,1.3242462943350244e9,0.1,2.3479900239756657e-9,0.26717546686109594,2.4912048093744513e20,5.577112867249696e18,1.0740635927405054e11,0.0223872113856834
50.0,4.844833268936769e6,7.708610922741546e6,8.977726067920284e8,1.2364633944246721e9,1.3098547388064294e9,2.145216309828571e9,1.3242462943350244e9,0.2,9.391960095902663e-9,0.26717546686109594,2.4912048093744513e20,5.577112867249696e18,1.0740635927405054e11,0.0223872113856834
